Dish,confidence
dim sum,1
sweet and sour sauce,0.999881306
fried rice,0.999524163
sesame oil,0.999523454
el topo,0.999448052
kung pao chicken,0.999377
stir fried,0.99913926
soy sauce,0.99913926
pork belly,0.99913926
peking duck,0.99913926
noodle soup,0.99913926
mongolian beef,0.99913926
iced tea,0.99913926
hot pot,0.99913926
green onion,0.99913926
egg rolls,0.99913926
deep fried,0.99913926
crab puffs,0.99913926
crab puff,0.99913926
crab legs,0.99913926
chow mein,0.99913926
brown sauce,0.99913926
black bean,0.99913926
shangri la,0.999103727
pea pods,0.999095594
hoi nam,0.999095594
hash browns,0.999095594
walnut shrimp,0.999020566
egg roll,0.999020566
crab rangoon,0.999020566
chow mien,0.999020566
plum sauce,0.999019857
peanut sauce,0.999019857
oyster sauce,0.999019857
minced pork,0.999019857
ice tea,0.999019857
brown rice,0.999019857
chicken wings,0.998960783
lazy susan,0.998955178
shark fin,0.998951869
filet mignon,0.998951869
water chestnuts,0.998944455
shaved ice,0.998944455
sea bass,0.998944455
san gabriel,0.998944455
san diego,0.998944455
prime rib,0.998944455
peanut butter,0.998944455
papaya salad,0.998944455
napa cabbage,0.998944455
language barrier,0.998944455
ice cream,0.998944455
gluten free,0.998944455
frog legs,0.998944455
cream cheese,0.998944455
clay pot,0.998944455
char siu,0.998944455
bun bo hue,0.998944455
bento box,0.998944455
bean curd,0.998944455
steamed rice,0.998901163
spring roll,0.998901163
green tea,0.998901163
dipping sauce,0.998901163
asian cuisine,0.998901163
queso fundido,0.998900788
pollo diablo,0.998900788
planet hollywood,0.998900788
neo tokyo,0.998900788
monterey park,0.998900788
monte carlo,0.998900788
lan zhou,0.998900788
foie gras,0.998900788
dac biet,0.998900788
bitter melon,0.998900788
spring mountain,0.998825761
fat choy,0.998825761
bean sprouts,0.998825761
coconut milk,0.998643077
chili paste,0.998643077
sui mai,0.998566076
siu mai,0.998566076
peruvian corn,0.998566076
harbor palace,0.998566076
gold coast,0.998566076
foo yung,0.998566076
chop suey,0.998566076
chen wok,0.998566076
bok choy,0.998566076
sushi rolls,0.998533605
rice noodle,0.998533605
rice cake,0.998533605
chicken satay,0.998533605
miso soup,0.998523674
white rice,0.998457185
sticky rice,0.998457185
french fries,0.998451581
sesame seeds,0.998448272
roti canai,0.998448272
refried beans,0.998448272
orchids garden,0.998448272
general tso,0.998448272
credit cards,0.998448272
spare ribs,0.998447382
snow peas,0.998447382
shopping center,0.998447382
fortune cookies,0.998447382
fortune cookie,0.998447382
credit card,0.998447382
condensed milk,0.998447382
orchid garden,0.998416048
black pepper,0.99840498
chili sauce,0.998337782
tom yum,0.998329577
portion sizes,0.998329577
health department,0.998256776
bone marrow,0.998256776
scrambled eggs,0.998237476
corn starch,0.998225337
sin city,0.9982081
pf chang,0.998069893
eureka casino,0.998069893
carnitas tacos,0.998038153
iron chef,0.998030531
salad bar,0.998030008
general chicken,0.997994475
casa grande,0.997905117
sweet potato,0.997884522
shark fin soup,0.997875072
tap water,0.997859582
dungeness crab,0.997859582
fried chicken,0.997819672
iced coffee,0.997811425
cell phone,0.997811425
pork ribs,0.99768436
noodle shop,0.997672865
mu shu pork,0.997553462
california roll,0.997553462
chili pepper,0.997517929
bobo brazil,0.997490682
walnut prawns,0.997382214
prix fixe,0.997357143
fish sauce,0.997344416
duck sauce,0.997344416
green peppers,0.997291684
soy milk,0.997247368
iceberg lettuce,0.997171902
bubble tea,0.997171902
sesame seed,0.997142857
roast pork,0.997127965
fountain hills,0.997062909
guy fieri,0.997042257
winter melon,0.996937326
diet coke,0.996903638
glutinous rice,0.996832419
evil jungle,0.996809879
fried egg,0.996805285
hoisin sauce,0.996758968
green beans,0.996747838
din tai fung,0.996742652
teriyaki chicken,0.996642857
hainanese chicken rice,0.996573571
green pepper,0.996571758
sugar cane,0.996565842
lemon chicken,0.996524163
lotus root,0.996515646
shrimp paste,0.996452355
thai curry,0.996449955
passion fruit,0.996375993
fried fish,0.996327808
light rail,0.996144758
lunch specials,0.996079389
jasmine tea,0.9957019
fish ball,0.995519126
lunch special,0.99538926
pulled pork,0.995366024
jasmine rice,0.995366024
wonton soup,0.995151163
beef tongue,0.995142831
hot dog,0.995008881
fried dough,0.994902501
rice noodles,0.994772137
cashew chicken,0.994750965
wonton strips,0.994610197
duck soup,0.994406877
street food,0.99439933
hot sauce,0.994275954
mexican food,0.99408916
sun prairie,0.99372168
saving grace,0.993714034
beef broccoli,0.993592977
mashed potatoes,0.993586215
chinese sausage,0.993470665
dried shrimp,0.993262185
star anise,0.993225287
white pepper,0.993138569
egg white,0.993065625
rice paper,0.993034534
peanut noodles,0.993034534
honey walnut,0.992737518
coca cola,0.99260559
soft drink,0.991980719
tomato sauce,0.991297797
queen creek,0.990171912
san fran,0.989642857
los angeles,0.989329358
